county,status,error_description
Miami-Dade,Success,
Broward,Failure,"Empty value in column 'legal_full' for parcel ogc_fid:892310547, pin:504202030690. Empty value in column 'legal_full' for parcel ogc_fid:891898394, pin:514216DD0010. Empty value in column 'legal_full' for parcel ogc_fid:900632392, pin:514120AA4940. Empty value in column 'legal_full' for parcel ogc_fid:891862553, pin:484306450010. Empty value in column 'legal_full' for parcel ogc_fid:892249032, pin:504207051590. Empty value in column 'legal_full' for parcel ogc_fid:891862333, pin:494234051060. Empty value in column 'legal_full' for parcel ogc_fid:892354103, pin:494223050120. Empty value in column 'legal_full' for parcel ogc_fid:900599533, pin:504201GJ1310. Empty value in column 'legal_full' for parcel ogc_fid:891920888, pin:484127032390. Empty value in column 'legal_full' for parcel ogc_fid:892320796, pin:494234049430"
Palm Beach,Failure,"No value in any of the specified square footage fields for parcel ogc_fid:883032889, pin:08434520200000040. Empty value in column 's_zipcode' for parcel ogc_fid:883032889, pin:08434520200000040"
Hillsborough,Success,
Orange,Failure,"No value in any of the specified square footage fields for parcel ogc_fid:892468929, pin:29-23-36-0569-00-040. No value in any of the specified square footage fields for parcel ogc_fid:892612233, pin:29-23-36-0569-00-050. Empty value in column 'legal_full' for parcel ogc_fid:892497550, pin:30-23-06-0024-03-050. Empty value in column 'legal_full' for parcel ogc_fid:892616214, pin:31-23-05-1976-00-060. Empty value in column 'legal_full' for parcel ogc_fid:892670918, pin:28-24-15-7777-02-270. Empty value in column 'legal_full' for parcel ogc_fid:892468929, pin:29-23-36-0569-00-040. Empty value in column 'legal_full' for parcel ogc_fid:892605580, pin:27-22-21-6103-01-230. Empty value in column 'legal_full' for parcel ogc_fid:892683549, pin:27-22-12-6496-31-008. Empty value in column 'legal_full' for parcel ogc_fid:892551230, pin:27-21-01-0000-00-080. Empty value in column 'legal_full' for parcel ogc_fid:892847474, pin:28-22-20-0000-00-007. Empty value in column 'legal_full' for parcel ogc_fid:892622491, pin:29-22-01-6652-00-080. Empty value in column 'legal_full' for parcel ogc_fid:892612233, pin:29-23-36-0569-00-050"
Duval,Failure,"Empty value in column 'legal_full' for parcel ogc_fid:883384435, pin:0733700156R. Empty value in column 'legal_full' for parcel ogc_fid:883384445, pin:0733700178R. Empty value in column 'legal_full' for parcel ogc_fid:883384394, pin:0733691030R. Empty value in column 'legal_full' for parcel ogc_fid:883384437, pin:0733700160R. Empty value in column 'legal_full' for parcel ogc_fid:883384443, pin:0733700174R. Empty value in column 'legal_full' for parcel ogc_fid:883384393, pin:0733691020R. Empty value in column 'legal_full' for parcel ogc_fid:883384391, pin:0733691000R. Empty value in column 'legal_full' for parcel ogc_fid:883384438, pin:0733700162R. Empty value in column 'legal_full' for parcel ogc_fid:883384434, pin:0733700154R. Empty value in column 'legal_full' for parcel ogc_fid:883384444, pin:0733700176R"
Pinellas,Failure,"Empty value in column 'legal_full' for parcel ogc_fid:881034673, pin:163115282060010070. No value in any of the specified square footage fields for parcel ogc_fid:880973356, pin:163010710103000801. Empty value in column 'legal_full' for parcel ogc_fid:880706850, pin:143024429120010440. Empty value in column 'legal_full' for parcel ogc_fid:881115241, pin:173108833760002350. Empty value in column 'legal_full' for parcel ogc_fid:880766888, pin:152913000001100700. Empty value in column 'legal_full' for parcel ogc_fid:880797827, pin:152936238680001220. Empty value in column 'legal_full' for parcel ogc_fid:880810820, pin:153007969570000490. Empty value in column 'legal_full' for parcel ogc_fid:880975435, pin:163016779840000010. Empty value in column 'legal_full' for parcel ogc_fid:881031134, pin:163113128340000220. Empty value in column 'legal_full' for parcel ogc_fid:880973356, pin:163010710103000801. Empty value in column 'legal_full' for parcel ogc_fid:880973343, pin:163010710103000508"
Lee,Failure,"Empty value in column 'legal_full' for parcel ogc_fid:874679244, pin:344423C2032260030. Empty value in column 'legal_full' for parcel ogc_fid:874511208, pin:234523C2001950230. Empty value in column 'legal_full' for parcel ogc_fid:874625508, pin:304623T4023114020. Empty value in column 'legal_full' for parcel ogc_fid:874685054, pin:344622T10030E1010. Empty value in column 'luse' for parcel ogc_fid:874201232, pin:024825B3005000001. Empty value in column 'luse' for parcel ogc_fid:874251040, pin:054525P2010000434. No value in any of the specified square footage fields for parcel ogc_fid:874532866, pin:254323C1023490670. Empty value in column 'legal_full' for parcel ogc_fid:874251040, pin:054525P2010000434. No value in any of the specified square footage fields for parcel ogc_fid:874529077, pin:244623W3000070000. Empty value in column 'legal_full' for parcel ogc_fid:874574818, pin:274527L1060320010. Empty value in column 'luse' for parcel ogc_fid:874685054, pin:344622T10030E1010. Empty value in column 'legal_full' for parcel ogc_fid:874201232, pin:024825B3005000001. No value in any of the specified square footage fields for parcel ogc_fid:874574818, pin:274527L1060320010. Empty value in column 'legal_full' for parcel ogc_fid:874532866, pin:254323C1023490670. Empty value in column 'luse' for parcel ogc_fid:874625508, pin:304623T4023114020. Empty value in column 'legal_full' for parcel ogc_fid:874529077, pin:244623W3000070000. Empty value in column 'legal_full' for parcel ogc_fid:874450168, pin:194424C2007790350"
Polk,Success,
Brevard,Failure,"No value in any of the specified square footage fields for parcel ogc_fid:874806417, pin:29-37-18-JR-02645.0-0013.00"
Pasco,Failure,"Empty value in column 'legal_full' for parcel ogc_fid:875095844, pin:04-25-17-005C-00000-0670. Empty value in column 'legal_full' for parcel ogc_fid:875176297, pin:15-25-16-075A-00000-8310. Empty value in column 'legal_full' for parcel ogc_fid:875261420, pin:24-26-19-0050-03300-0190. Empty value in column 'legal_full' for parcel ogc_fid:875303346, pin:29-26-17-0010-00000-019A. Empty value in column 'legal_full' for parcel ogc_fid:875366953, pin:35-26-15-003A-00000-3310. Empty value in column 's_city' for parcel ogc_fid:875247403, pin:23-24-16-0040-00700-0040. Empty value in column 'legal_full' for parcel ogc_fid:875247403, pin:23-24-16-0040-00700-0040. Empty value in column 'legal_full' for parcel ogc_fid:875091531, pin:03-26-16-026B-00000-2020. Empty value in column 'legal_full' for parcel ogc_fid:875303421, pin:29-26-17-0040-00000-0130. Empty value in column 's_address' for parcel ogc_fid:875247403, pin:23-24-16-0040-00700-0040. Empty value in column 's_zipcode' for parcel ogc_fid:875247403, pin:23-24-16-0040-00700-0040. Empty value in column 'legal_full' for parcel ogc_fid:875185103, pin:16-25-16-0000-00700-0020. Empty value in column 'legal_full' for parcel ogc_fid:875127254, pin:09-25-16-0010-01000-0020. No value in any of the specified square footage fields for parcel ogc_fid:875247403, pin:23-24-16-0040-00700-0040"
Volusia,Failure,"No value in any of the specified square footage fields for parcel ogc_fid:884418889, pin:32144231010020"
Seminole,Failure,Could not retrieve most recent record from API.
