check_name,value,details
data_date,2025-06-16,
api_record_count,10,
raw_file_parcel_count,,
most_recent_sale,2025-06-06,
empty_column:any_of_yrblt_act_yrblt_eff,0/10,
empty_column:any_of_sqft_htd_sqft_tot_sqft_adj,0/10,
empty_column:o_name1,0/10,
empty_column:o_address1,0/10,
empty_column:o_city,0/10,
empty_column:o_zipcode,0/10,
empty_column:s_address,0/10,
empty_column:s_city,0/10,
empty_column:s_zipcode,0/10,
empty_column:d_county,0/10,
empty_column:mrkt_tot,0/10,
empty_column:assd_tot,0/10,
empty_column:luse,0/10,
empty_column:lusedor,0/10,
empty_column:lusedor_d,0/10,
empty_column:legal_full,0/10,
empty_column:sale1_amt,0/10,
empty_column:sale1_date,0/10,
